category,technique_name,description
triangulation,Source Triangulation,"Cross-check the claim against three or more independent, reputable sources before trusting it - agreement across unrelated sources raises confidence while disagreement localizes exactly which sub-claim is contested and needs deeper investigation"
triangulation,Citation Chaining,"Follow a claim back to its primary source and forward to who cites it - distinguishes original first-hand evidence from repeated hearsay, and exposes claims that look well-supported but trace to a single unverified origin"
triangulation,Documentation vs Reality Check,"Compare what the official docs, specs, or README assert against actually observed behavior in changelogs, issue trackers, and source code - catches stale, aspirational, or version-drifted claims that documentation alone would confirm falsely"
triangulation,Systematic Evidence Scan,"Sweep the body of evidence (papers, RFCs, standards, well-rated answers) methodically rather than trusting the first convenient hit - record what was searched, what was found, and what was deliberately excluded so the investigation is reproducible"
triangulation,Recency Weighting,"Date-stamp every piece of evidence and weight it by recency for fast-moving domains - explicitly flag when a conclusion rests only on outdated sources, since a claim that was true two versions ago may now be false"
empirical,Technical Spike,"Write the smallest possible throwaway program or experiment that would exhibit the behavior and observe it directly - replaces arguing about what a library or API does with watching what it actually does in a controlled run"
empirical,Reproduction Test,"Recreate the exact conditions described in the claim and check whether the stated outcome occurs - a claim that cannot be reproduced is not yet evidence, and reproduction often surfaces the hidden precondition that makes it true or false"
empirical,Differential Comparison,"Run the same task two ways (approach A vs B, version X vs Y, flag on vs off) and compare outputs to isolate the single variable that actually causes the observed difference rather than assuming the obvious cause"
empirical,Benchmark Measurement,"Quantify the claim with a real measurement (latency, accuracy, memory, cost) under controlled conditions - converts a qualitative assertion like 'this is faster' into a number that can be confirmed, refuted, or bounded"
adversarial,Falsification,"Actively hunt for evidence that would DISPROVE the assumption instead of evidence that confirms it (Popper) - an assumption that survives genuine, well-designed refutation attempts earns far more confidence than one that was only ever defended"
adversarial,Red Team Blue Team,"Assign one stance to argue the assumption holds and an adversarial stance to attack it, then keep only the claims that survive the clash - structurally separates advocacy from criticism so neither side can quietly skip the hard questions"
adversarial,Steelmanning,"Construct the strongest possible version of the opposing view before judging the assumption - prevents discarding a true counter-claim merely because it was first encountered in a weak or poorly argued form"
adversarial,Devil's Advocate,"Deliberately assign a contrarian whose job is to produce concrete, specific objections - decouples critical scrutiny from interpersonal friction so the assumption is stress-tested without anyone feeling personally attacked"
adversarial,Pre-Mortem,"Assume the assumption turned out wrong and shipped anyway, then work backward to enumerate what failed and why (Gary Klein) - breaks optimism bias by making failure concrete and surfacing the early warning signal that would have caught it"
adversarial,Counterexample Hunt,"Try to find a single concrete case where the assumption breaks - one valid counterexample refutes a universal claim outright, and the search itself reveals the precise boundary conditions under which the claim does and does not hold"
elicitation,Verbalized Sampling,"Prompt the model for a DISTRIBUTION of candidate answers with explicit probabilities (e.g. 'give 5 answers about X and the likelihood of each') instead of one answer - a training-free technique that counters mode collapse and surfaces low-probability-but-plausible findings the single typical answer would hide"
elicitation,Self-Consistency,"Sample several independent reasoning traces for the same question and take the majority or most-consistent conclusion - wide disagreement across traces is itself a signal that the claim is unreliable and not yet safe to act on"
elicitation,Chain-of-Verification,"Draft an answer, generate the verification questions that would check its key facts, answer those questions independently, then revise the original answer in light of them - a structured self-check that measurably reduces confident hallucination"
elicitation,Perspective Sampling,"Answer the research question from several distinct expert roles (security, performance, maintainer, domain user) and inspect where their conclusions converge or diverge - convergence strengthens the claim, divergence pinpoints the contested dimension"
analytical,First-Principles Decomposition,"Break the assumption into its atomic sub-claims and validate each one independently - the whole assumption is only as true as its weakest sub-claim, and decomposition often reveals that the doubt lives in one specific piece"
analytical,Five Whys,"Repeatedly ask why the assumption is believed to be true until you reach either a verifiable root premise or an unfounded leap of faith - traces a belief down to the evidence (or absence of evidence) it actually rests on"
analytical,Assumption Mapping,"List every hidden assumption the belief depends on, then rank them by impact-if-wrong times uncertainty - focuses limited research effort on the few assumptions that are both load-bearing and genuinely unsure rather than the easy, safe ones"
analytical,Necessary vs Sufficient Test,"Separate the conditions that MUST hold for the claim to be true from those that merely help - many false beliefs come from confusing a sufficient or correlated condition with a necessary one, and naming the difference exposes the gap"
analytical,Operationalization,"Restate a vague assumption as a precise, measurable, testable statement before trying to validate it - an un-testable claim cannot be graded confirmed or refuted, so sharpening the wording is often the first real research step"
probabilistic,Bayesian Updating,"State an explicit prior confidence, then move it up or down with each piece of evidence in proportion to that evidence's diagnostic strength - prevents both ignoring new data and over-reacting to a single striking-but-weak data point"
probabilistic,Calibrated Confidence,"Anchor the estimate to the base rate of similar claims and express the final conclusion as a calibrated probability rather than a binary yes or no - keeps the verdict honest about residual uncertainty instead of overstating certainty"
probabilistic,Sensitivity Analysis,"Vary the uncertain inputs and observe whether the conclusion flips - a conclusion that stays stable across the full plausible range of inputs is safe to act on, while one that flips easily means the assumption is still genuinely undecided"
